Age,Gender,Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Health_Impacts,Urban_or_Rural
13,Female,3.47,TV,True,Eye Strain,Urban
15,Male,3.98,TV,True,None,Urban
8,Female,0.8,Smartphone,False,None,Urban
8,Male,8.99,Smartphone,True,"Eye Strain, Obesity Risk",Urban
14,Male,2.76,Smartphone,False,None,Rural
15,Female,4.69,Smartphone,True,"Poor Sleep, Anxiety",Rural
10,Female,1.44,TV,False,None,Urban
12,Male,3.65,TV,True,"Poor Sleep, Eye Strain, Obesity Risk",Urban
8,Female,3.71,Tablet,True,"Poor Sleep, Obesity Risk",Urban
14,Male,6.34,Laptop,True,"Poor Sleep, Eye Strain",Urban
12,Female,2.87,TV,False,None,Rural
15,Male,4.16,Smartphone,True,"Poor Sleep, Eye Strain",Urban
15,Male,5.17,Smartphone,True,"Poor Sleep, Eye Strain",Rural
16,Female,5.11,TV,True,Poor Sleep,Urban
14,Male,5.07,Smartphone,True,Eye Strain,Urban
18,Male,5.22,Smartphone,True,None,Urban
8,Male,0.04,Tablet,False,None,Rural
10,Female,0.42,Smartphone,False,None,Urban
15,Female,3.7,Smartphone,True,Poor Sleep,Urban
10,Male,4.37,Smartphone,True,"Poor Sleep, Obesity Risk",Rural
15,Female,5.79,Smartphone,True,None,Urban
8,Male,6.33,Tablet,True,"Poor Sleep, Anxiety, Obesity Risk",Rural
12,Female,3.27,TV,True,Poor Sleep,Urban
11,Female,4.95,Smartphone,True,"Poor Sleep, Eye Strain, Anxiety",Urban
12,Female,3.24,Laptop,True,"Anxiety, Obesity Risk",Urban
15,Female,4.19,Smartphone,True,Poor Sleep,Rural
17,Female,3.29,Smartphone,True,None,Urban
11,Female,4.38,TV,True,"Poor Sleep, Obesity Risk",Rural
18,Female,4.45,TV,True,None,Urban
11,Female,3.99,Laptop,True,Poor Sleep,Rural
10,Male,3.06,TV,True,"Poor Sleep, Anxiety",Urban
14,Female,6.32,Tablet,True,Poor Sleep,Urban
10,Female,1.38,Smartphone,False,None,Urban
10,Female,8.26,TV,True,Poor Sleep,Urban
18,Male,3.25,Laptop,True,None,Urban
17,Female,4.75,Smartphone,True,"Poor Sleep, Eye Strain, Obesity Risk",Urban
12,Female,5.49,TV,True,"Poor Sleep, Eye Strain",Urban
12,Male,4.26,Laptop,True,Poor Sleep,Urban
13,Male,7.41,TV,True,"Poor Sleep, Eye Strain, Anxiety",Urban
15,Female,3.67,Smartphone,True,Eye Strain,Rural
17,Male,4.51,Smartphone,True,Poor Sleep,Rural
13,Male,4.38,Smartphone,True,None,Rural
8,Male,3.25,Smartphone,True,Eye Strain,Rural
15,Female,4.1,Smartphone,True,Poor Sleep,Urban
15,Female,5.91,Smartphone,True,Poor Sleep,Urban
16,Female,5.79,Smartphone,True,"Poor Sleep, Anxiety",Urban
16,Male,5.96,Smartphone,True,"Poor Sleep, Anxiety",Urban
9,Female,7.73,Smartphone,True,Poor Sleep,Rural
10,Female,4.17,Smartphone,True,Poor Sleep,Rural
8,Male,8.12,Smartphone,True,"Poor Sleep, Eye Strain, Obesity Risk",Urban
11,Female,2.4,Tablet,False,None,Rural
11,Female,4.88,Laptop,True,None,Urban
16,Female,6.64,Smartphone,True,"Poor Sleep, Obesity Risk",Rural
16,Male,3.82,TV,True,Poor Sleep,Urban
16,Male,5.05,Smartphone,True,Poor Sleep,Urban
17,Male,5.69,Laptop,True,Poor Sleep,Urban
14,Female,3.34,Tablet,True,"Poor Sleep, Obesity Risk",Urban
17,Male,4.23,Laptop,True,"Poor Sleep, Anxiety",Rural
12,Male,3.21,TV,True,Poor Sleep,Urban
11,Male,3.2,TV,True,Anxiety,Rural
18,Male,3.96,Smartphone,True,Poor Sleep,Urban
15,Male,5.98,TV,True,"Poor Sleep, Anxiety",Urban
9,Female,2.64,TV,True,None,Urban
13,Female,5.65,Laptop,True,"Anxiety, Obesity Risk",Rural
12,Female,3.22,Laptop,True,"Poor Sleep, Eye Strain",Urban
9,Male,0.28,Smartphone,False,None,Urban
18,Male,5.82,Laptop,True,"Eye Strain, Obesity Risk",Urban
17,Male,4.57,Tablet,True,"Eye Strain, Anxiety",Urban
8,Female,1.65,TV,False,None,Urban
15,Male,4.74,Laptop,True,"Poor Sleep, Eye Strain",Urban
9,Male,5.78,TV,True,None,Urban
14,Male,3.26,Smartphone,True,Poor Sleep,Urban
16,Male,4.09,TV,True,None,Rural
16,Male,5.8,Smartphone,True,None,Urban
15,Female,4.07,Smartphone,True,"Eye Strain, Obesity Risk",Urban
18,Male,3.41,Smartphone,True,None,Urban
17,Female,2.64,Smartphone,False,None,Urban
16,Male,5.49,Smartphone,True,Obesity Risk,Urban
13,Male,4.87,TV,True,Poor Sleep,Urban
11,Female,2.11,TV,False,None,Urban
11,Male,5.61,Laptop,True,None,Urban
12,Female,3.97,Smartphone,True,Eye Strain,Rural
10,Female,5.16,TV,True,None,Urban
8,Female,6.72,Smartphone,True,None,Urban
15,Male,5.74,Tablet,True,"Poor Sleep, Anxiety",Urban
12,Female,4.02,Smartphone,True,"Eye Strain, Anxiety",Urban
10,Male,7.53,Smartphone,True,None,Urban
17,Female,4.93,TV,True,"Poor Sleep, Anxiety, Obesity Risk",Urban
14,Male,4.75,Smartphone,True,Poor Sleep,Rural
14,Male,1.55,Smartphone,False,None,Urban
8,Female,3.28,Smartphone,True,"Eye Strain, Obesity Risk",Urban
16,Female,3.48,Smartphone,True,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Urban
9,Female,0.36,Smartphone,False,None,Rural
12,Female,2.67,Smartphone,False,None,Urban
12,Male,5.4,TV,True,None,Rural
15,Female,2.14,Smartphone,False,None,Urban
15,Female,5.17,Laptop,True,"Poor Sleep, Eye Strain",Rural
14,Female,2.92,Smartphone,False,None,Urban
14,Female,3.3,Tablet,True,"Poor Sleep, Anxiety",Urban
18,Female,5.35,Smartphone,True,Poor Sleep,Rural
13,Male,3.82,TV,True,Anxiety,Urban
13,Female,3.39,TV,True,Poor Sleep,Urban
18,Male,5.12,Laptop,True,None,Urban
16,Male,2.51,Laptop,False,None,Urban
13,Female,3.77,Smartphone,True,Poor Sleep,Urban
9,Male,4.39,TV,True,"Poor Sleep, Anxiety",Urban
9,Female,4.35,TV,True,"Poor Sleep, Obesity Risk",Urban
12,Male,4.72,TV,True,"Poor Sleep, Eye Strain, Anxiety",Rural
11,Female,4.3,Smartphone,True,None,Urban
18,Male,3.82,Laptop,True,"Poor Sleep, Eye Strain",Urban
9,Female,6.33,Tablet,True,"Poor Sleep, Eye Strain",Urban
10,Male,7.55,TV,True,Eye Strain,Urban
14,Female,5.92,Laptop,True,"Poor Sleep, Obesity Risk",Urban
15,Female,3.39,Smartphone,True,Anxiety,Urban
13,Female,5.2,TV,True,"Poor Sleep, Obesity Risk",Urban
18,Male,3.39,Laptop,True,"Poor Sleep, Anxiety",Rural
12,Female,5.56,Smartphone,True,"Poor Sleep, Eye Strain, Anxiety",Urban
8,Female,2.1,TV,True,None,Rural
15,Male,5.13,Smartphone,True,Poor Sleep,Urban
13,Male,3.35,Smartphone,True,"Anxiety, Obesity Risk",Urban
10,Female,3.99,TV,True,"Poor Sleep, Anxiety",Rural
14,Female,2.82,Smartphone,False,None,Urban
14,Male,3.19,Tablet,True,"Poor Sleep, Anxiety",Rural
16,Male,4.81,Smartphone,True,None,Urban
12,Female,3.65,Laptop,True,"Poor Sleep, Anxiety",Urban
15,Male,4.98,Laptop,True,Eye Strain,Urban
17,Female,5.68,Tablet,True,Poor Sleep,Urban
17,Male,4.11,Laptop,True,"Poor Sleep, Eye Strain",Urban
15,Male,5.99,Smartphone,True,Eye Strain,Rural
8,Male,3.22,Smartphone,True,Obesity Risk,Urban
12,Female,4.1,Smartphone,True,"Poor Sleep, Obesity Risk",Urban
10,Female,5.11,Smartphone,True,None,Rural
8,Male,1.63,Smartphone,False,None,Rural
11,Female,4.96,Laptop,True,Anxiety,Urban
15,Female,4.02,Smartphone,True,"Eye Strain, Obesity Risk",Urban
10,Female,0.24,Smartphone,False,None,Urban
17,Male,4.56,Smartphone,True,Anxiety,Urban
9,Male,6.62,TV,True,"Poor Sleep, Eye Strain, Anxiety",Urban
18,Male,5.5,TV,True,"Poor Sleep, Eye Strain",Urban
16,Female,5.11,Tablet,True,None,Rural
17,Female,2.27,TV,False,None,Urban
12,Female,5.25,Laptop,True,Poor Sleep,Rural
14,Female,3.31,Smartphone,True,Poor Sleep,Rural
18,Male,4.58,Smartphone,True,Poor Sleep,Rural
18,Male,4.37,Tablet,True,"Poor Sleep, Anxiety, Obesity Risk",Urban
9,Female,1.77,Smartphone,False,None,Urban
16,Female,5.7,TV,True,None,Urban
16,Male,6.59,Tablet,True,Poor Sleep,Rural
11,Female,3.26,Laptop,True,None,Urban
11,Male,4.71,TV,True,None,Urban
13,Female,2.95,Laptop,False,None,Urban
17,Female,4.86,Smartphone,True,None,Rural
17,Male,3.92,Smartphone,True,"Poor Sleep, Anxiety",Urban
17,Female,6.46,Tablet,True,Poor Sleep,Rural
13,Female,4.14,Smartphone,True,None,Rural
8,Female,8.24,Smartphone,True,"Poor Sleep, Anxiety",Rural
16,Male,2.92,Tablet,False,None,Urban
9,Male,5.26,TV,True,"Poor Sleep, Eye Strain",Urban
12,Male,3.59,Laptop,True,"Poor Sleep, Eye Strain",Urban
16,Female,7.55,Laptop,True,Poor Sleep,Urban
11,Female,5.22,Laptop,True,Poor Sleep,Urban
18,Male,5.27,Smartphone,True,Obesity Risk,Rural
10,Male,1.98,Smartphone,False,None,Urban
14,Male,4.97,Smartphone,True,Poor Sleep,Urban
13,Male,2.78,TV,False,None,Rural
15,Male,3.96,TV,True,None,Urban
10,Female,6.32,TV,True,"Poor Sleep, Eye Strain",Urban
12,Male,4.19,TV,True,Poor Sleep,Urban
17,Male,4.75,TV,True,Poor Sleep,Urban
11,Female,4,Tablet,True,"Poor Sleep, Eye Strain",Urban
11,Male,4.88,TV,True,None,Urban
11,Male,3.74,Smartphone,True,Eye Strain,Urban
17,Male,5.54,Smartphone,True,Poor Sleep,Rural
15,Female,5.55,Tablet,True,"Poor Sleep, Eye Strain",Urban
13,Female,4.27,TV,True,Poor Sleep,Urban
10,Female,8.83,Tablet,True,"Poor Sleep, Anxiety",Rural
17,Female,6.56,Smartphone,True,Poor Sleep,Rural
12,Male,4.52,Smartphone,True,"Poor Sleep, Eye Strain",Urban
13,Male,3.83,Tablet,True,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Rural
12,Female,2.04,Smartphone,False,None,Urban
13,Male,7.06,TV,True,"Poor Sleep, Eye Strain",Urban
15,Female,5.08,TV,True,"Poor Sleep, Eye Strain",Urban
14,Male,3.11,Laptop,True,"Poor Sleep, Anxiety",Urban
12,Male,5.25,Smartphone,True,"Poor Sleep, Eye Strain",Urban
17,Female,3.62,Smartphone,True,Poor Sleep,Urban
13,Male,2.75,Smartphone,False,None,Urban
11,Female,4.17,Smartphone,True,"Poor Sleep, Eye Strain",Urban
16,Female,4.98,Smartphone,True,"Poor Sleep, Anxiety",Rural
11,Female,6.57,Smartphone,True,Eye Strain,Rural
8,Male,3.94,Smartphone,True,Poor Sleep,Urban
14,Female,4.19,Laptop,True,None,Urban
14,Female,4.15,Smartphone,True,None,Urban
11,Female,3.61,Laptop,True,Anxiety,Urban
10,Female,0.46,TV,False,None,Urban
15,Male,6.5,TV,True,Eye Strain,Urban
12,Male,3.99,Tablet,True,None,Urban
17,Female,4.04,Smartphone,True,Poor Sleep,Urban
14,Male,2.87,Tablet,False,None,Urban
11,Female,3.25,Smartphone,True,Eye Strain,Rural
11,Male,3.77,Smartphone,True,"Poor Sleep, Eye Strain",Urban
15,Female,3.17,Laptop,True,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Rural
15,Female,2.38,Tablet,False,None,Urban
9,Male,1.79,TV,False,None,Urban
9,Female,0.74,Smartphone,False,None,Urban
10,Male,6.41,TV,True,None,Urban
10,Male,6.23,TV,True,Eye Strain,Urban
10,Male,7.27,Tablet,True,None,Rural
13,Female,4.98,TV,True,Poor Sleep,Urban
15,Female,2.55,Smartphone,False,None,Urban
17,Female,5.73,Smartphone,True,"Poor Sleep, Eye Strain",Urban
13,Male,5.61,Laptop,True,"Poor Sleep, Eye Strain",Urban
12,Female,5.78,Smartphone,True,"Poor Sleep, Eye Strain, Obesity Risk",Urban
11,Male,2.69,Tablet,False,None,Urban
10,Female,9.98,TV,True,None,Urban
11,Female,3.61,Tablet,True,"Poor Sleep, Eye Strain",Rural
14,Male,4.9,Smartphone,True,Poor Sleep,Urban
8,Female,4.2,Smartphone,True,Obesity Risk,Urban
14,Female,2.27,Smartphone,False,None,Urban
8,Female,11.77,Smartphone,True,Poor Sleep,Urban
9,Female,4.93,TV,True,Anxiety,Urban
11,Male,4.12,TV,True,Poor Sleep,Urban
8,Male,2.99,TV,True,None,Rural
18,Male,6.64,Smartphone,True,Poor Sleep,Rural
18,Female,2.9,Smartphone,False,None,Rural
18,Male,3.18,TV,True,Poor Sleep,Urban
16,Female,7.44,TV,True,"Poor Sleep, Anxiety",Urban
13,Female,5.61,Tablet,True,"Poor Sleep, Obesity Risk",Rural
8,Male,2.67,Smartphone,True,None,Urban
8,Female,4.62,Smartphone,True,None,Rural
13,Male,4.14,Smartphone,True,None,Urban
11,Male,5.1,Smartphone,True,Eye Strain,Urban
11,Female,5.31,TV,True,"Poor Sleep, Anxiety",Urban
18,Male,6.37,Tablet,True,"Eye Strain, Obesity Risk",Rural
13,Male,5.55,Smartphone,True,"Poor Sleep, Anxiety",Urban
18,Male,3.54,Smartphone,True,None,Urban
14,Female,4.68,Smartphone,True,"Poor Sleep, Eye Strain, Anxiety",Rural
16,Male,6.27,Smartphone,True,"Poor Sleep, Obesity Risk",Urban
17,Female,4.5,Smartphone,True,"Poor Sleep, Eye Strain",Urban
12,Male,2.94,Laptop,False,None,Rural
16,Female,4.72,Smartphone,True,Anxiety,Urban
11,Male,4.27,Smartphone,True,None,Urban
17,Female,3.28,Smartphone,True,None,Urban
9,Female,2.56,Smartphone,True,None,Urban
10,Male,5.13,TV,True,Poor Sleep,Urban
18,Female,2.34,Tablet,False,None,Urban
8,Male,5.28,TV,True,"Poor Sleep, Eye Strain",Rural
13,Female,3.75,Smartphone,True,"Poor Sleep, Obesity Risk",Urban
13,Male,5.81,Smartphone,True,None,Urban
8,Female,5.55,Smartphone,True,Poor Sleep,Urban
18,Female,5.05,TV,True,Poor Sleep,Rural
12,Female,3.22,TV,True,Poor Sleep,Urban
10,Female,5.16,TV,True,None,Urban
17,Female,5.31,Smartphone,True,"Eye Strain, Anxiety, Obesity Risk",Urban
10,Male,0.8,Smartphone,False,None,Urban
17,Female,4,Smartphone,True,Poor Sleep,Urban
10,Male,2.89,Tablet,True,None,Urban
12,Female,6.9,Tablet,True,Poor Sleep,Rural
12,Male,2.01,Smartphone,False,None,Urban
11,Female,3.05,TV,True,Poor Sleep,Urban
8,Male,4.61,Smartphone,True,Poor Sleep,Urban
12,Female,5.62,TV,True,Poor Sleep,Urban
17,Male,5.18,Smartphone,True,Poor Sleep,Urban
12,Male,4.1,TV,True,None,Rural
11,Male,7.15,Tablet,True,None,Urban
13,Female,4.79,Smartphone,True,Obesity Risk,Urban
17,Male,5.67,Laptop,True,None,Urban
11,Female,7.15,Smartphone,True,Eye Strain,Urban
14,Female,3.01,Smartphone,True,Poor Sleep,Urban
14,Male,4.59,TV,True,Eye Strain,Rural
9,Female,1.62,TV,False,None,Rural
10,Male,2.63,Smartphone,True,None,Urban
8,Female,4.39,TV,True,Eye Strain,Urban
15,Female,4.56,Smartphone,True,"Poor Sleep, Anxiety",Urban
16,Male,4.14,Smartphone,True,"Poor Sleep, Anxiety, Obesity Risk",Urban
11,Male,4.43,Laptop,True,"Poor Sleep, Anxiety",Urban
13,Male,6.84,Smartphone,True,Anxiety,Urban
16,Female,4.84,Smartphone,True,Obesity Risk,Rural
13,Female,3.14,Laptop,True,Eye Strain,Urban
16,Male,3.56,Tablet,True,Poor Sleep,Urban
11,Female,5.54,Laptop,True,Obesity Risk,Urban
15,Male,1.59,Laptop,False,None,Urban
16,Female,5.73,Laptop,True,"Eye Strain, Obesity Risk",Rural
11,Male,3.12,TV,True,Obesity Risk,Urban
12,Male,5.92,Laptop,True,Anxiety,Urban
15,Female,4.76,Tablet,True,Obesity Risk,Urban
17,Male,5.15,Smartphone,True,Poor Sleep,Rural
13,Male,4.15,Laptop,True,Poor Sleep,Rural
14,Female,4.75,Laptop,True,Poor Sleep,Urban
10,Male,6.81,TV,True,None,Urban
14,Male,5.5,Smartphone,True,Poor Sleep,Urban
15,Female,5.08,TV,True,"Poor Sleep, Eye Strain",Rural
17,Male,3.92,Smartphone,True,None,Rural
13,Male,5.15,Smartphone,True,Poor Sleep,Urban
17,Male,4.04,Smartphone,True,"Poor Sleep, Anxiety",Rural
16,Female,4.53,Smartphone,True,Poor Sleep,Urban
13,Female,3.85,TV,True,"Eye Strain, Obesity Risk",Urban
16,Male,1.92,Smartphone,False,None,Urban
11,Male,4.41,TV,True,Eye Strain,Rural
15,Female,3.25,Smartphone,True,"Poor Sleep, Eye Strain",Urban
18,Female,3.89,Smartphone,True,"Poor Sleep, Eye Strain, Obesity Risk",Urban
11,Female,3.2,Smartphone,True,Poor Sleep,Urban
9,Male,2.97,Smartphone,True,None,Urban
17,Male,4.34,TV,True,Obesity Risk,Urban
18,Male,5.13,TV,True,Poor Sleep,Urban
16,Female,4.62,Smartphone,True,None,Rural
12,Female,2.84,Tablet,False,None,Urban
11,Male,6.24,Smartphone,True,None,Urban
9,Male,2.03,Smartphone,True,None,Urban
8,Male,6.44,TV,True,Poor Sleep,Urban
18,Female,2.77,Smartphone,False,None,Urban
14,Female,5.37,Smartphone,True,"Poor Sleep, Anxiety",Urban
13,Male,4.56,Smartphone,True,"Poor Sleep, Anxiety",Urban
9,Female,3.38,Smartphone,True,Poor Sleep,Rural
15,Male,5.52,Smartphone,True,Eye Strain,Urban
18,Male,6.84,Smartphone,True,Poor Sleep,Rural
11,Female,4.57,TV,True,Poor Sleep,Urban
15,Female,5.74,Smartphone,True,None,Rural
14,Female,5.75,TV,True,None,Rural
12,Female,6.5,Smartphone,True,None,Urban
17,Female,4.39,Smartphone,True,None,Urban
17,Female,3.83,Laptop,True,Anxiety,Rural
15,Male,4.59,Smartphone,True,Poor Sleep,Urban
16,Male,5.31,TV,True,"Poor Sleep, Obesity Risk",Rural
12,Female,4.52,Tablet,True,None,Urban
17,Female,3.6,TV,True,Poor Sleep,Urban
12,Female,5.96,Tablet,True,Poor Sleep,Urban
9,Female,0.24,TV,False,None,Rural
12,Male,3.55,TV,True,Poor Sleep,Rural
10,Male,4.69,Smartphone,True,Anxiety,Urban
14,Male,5.52,TV,True,Poor Sleep,Urban
17,Female,3.12,Smartphone,True,"Poor Sleep, Obesity Risk",Urban
12,Female,6.11,Laptop,True,Eye Strain,Urban
15,Female,4.47,Smartphone,True,"Poor Sleep, Eye Strain",Urban
8,Male,5.37,TV,True,Poor Sleep,Urban
10,Female,8.3,TV,True,Anxiety,Urban
10,Female,8.08,Smartphone,True,Poor Sleep,Rural
16,Male,5.04,Smartphone,True,Obesity Risk,Urban
12,Male,2.9,TV,False,None,Rural
16,Female,3.27,Laptop,True,None,Urban
16,Female,3.39,Smartphone,True,"Poor Sleep, Eye Strain",Urban
8,Male,0.08,Smartphone,False,None,Urban
9,Female,6.13,TV,True,Eye Strain,Urban
12,Male,5.15,Smartphone,True,Eye Strain,Rural
11,Female,6.99,Tablet,True,"Poor Sleep, Eye Strain",Urban
17,Male,4.06,Smartphone,True,None,Urban
16,Female,3.88,Laptop,True,"Anxiety, Obesity Risk",Urban
14,Male,5.75,Smartphone,True,Poor Sleep,Urban
13,Female,6.05,TV,True,Poor Sleep,Urban
14,Male,5.39,TV,True,"Poor Sleep, Eye Strain",Rural
8,Female,0.26,Tablet,False,None,Rural
15,Male,5.12,Smartphone,True,"Poor Sleep, Eye Strain",Urban
9,Male,3.88,Smartphone,True,Eye Strain,Urban
17,Male,3.31,Smartphone,True,"Poor Sleep, Eye Strain",Urban
18,Female,6.79,Smartphone,True,Poor Sleep,Urban
16,Female,4.24,Laptop,True,Eye Strain,Urban
14,Female,5.29,TV,True,"Poor Sleep, Eye Strain",Urban
13,Female,4.64,Tablet,True,Poor Sleep,Rural
8,Male,3.24,TV,True,"Poor Sleep, Obesity Risk",Urban
8,Male,6.99,Smartphone,True,None,Rural
9,Male,2.87,Tablet,True,None,Urban
13,Male,4.84,TV,True,"Poor Sleep, Eye Strain, Obesity Risk",Rural
13,Male,3.27,Smartphone,True,Eye Strain,Urban
9,Female,7,TV,True,Poor Sleep,Urban
8,Male,7.6,Tablet,True,Anxiety,Urban
17,Male,6.19,Smartphone,True,"Eye Strain, Obesity Risk",Urban
12,Male,5.05,Laptop,True,Poor Sleep,Urban
12,Female,4.46,TV,True,None,Urban
13,Male,5.73,Laptop,True,None,Urban
16,Male,2.68,Smartphone,False,None,Rural
9,Male,7.16,Smartphone,True,"Poor Sleep, Eye Strain",Rural
17,Female,5.52,Laptop,True,"Poor Sleep, Anxiety",Urban
9,Male,1.07,TV,False,None,Urban
10,Male,5.37,TV,True,"Poor Sleep, Eye Strain, Obesity Risk",Rural
14,Female,3.62,Smartphone,True,Eye Strain,Urban
13,Male,6.5,Smartphone,True,"Poor Sleep, Obesity Risk",Rural
15,Female,4.43,Smartphone,True,"Poor Sleep, Eye Strain",Urban
15,Male,2,Laptop,False,None,Rural
13,Male,3.48,Smartphone,True,"Poor Sleep, Eye Strain",Urban
18,Female,6.33,Laptop,True,"Eye Strain, Anxiety",Urban
17,Male,3.73,Smartphone,True,None,Urban
10,Female,7.23,Tablet,True,Poor Sleep,Urban
10,Male,4.38,TV,True,Poor Sleep,Rural
8,Female,2.95,Tablet,True,None,Urban
14,Female,3,Smartphone,False,None,Urban
12,Female,3.61,Laptop,True,None,Urban
11,Female,2.09,Laptop,False,None,Rural
17,Male,4.88,Smartphone,True,Anxiety,Urban
11,Female,5.45,Laptop,True,Poor Sleep,Rural
11,Female,4.27,Smartphone,True,Poor Sleep,Urban
13,Female,5.83,Laptop,True,Eye Strain,Urban
15,Male,3.86,Laptop,True,None,Rural
15,Female,4.05,Laptop,True,Poor Sleep,Urban
12,Male,2.81,TV,False,None,Urban
13,Male,5.02,Smartphone,True,Anxiety,Urban
11,Male,5.28,Tablet,True,"Poor Sleep, Anxiety",Rural
18,Female,5.41,Smartphone,True,Eye Strain,Urban
16,Male,2.91,Laptop,False,None,Rural
15,Male,5.87,Smartphone,True,Poor Sleep,Urban
17,Male,3.96,Smartphone,True,"Poor Sleep, Obesity Risk",Urban
17,Male,4.64,Smartphone,True,"Poor Sleep, Eye Strain, Obesity Risk",Urban
8,Female,3.68,Tablet,True,Poor Sleep,Urban
9,Male,4.93,TV,True,Anxiety,Urban
16,Male,4.58,Smartphone,True,"Poor Sleep, Eye Strain",Rural
15,Female,4.07,Laptop,True,Poor Sleep,Urban
10,Male,1.05,TV,False,None,Rural
15,Female,3.21,Laptop,True,Poor Sleep,Urban
8,Male,3.83,Smartphone,True,None,Urban
17,Female,4.32,Smartphone,True,"Eye Strain, Anxiety",Urban
11,Male,4.35,TV,True,None,Urban
10,Female,0.08,Smartphone,False,None,Rural
13,Female,3.09,Smartphone,True,Poor Sleep,Rural
14,Male,5.13,Smartphone,True,None,Rural
11,Male,4.21,Smartphone,True,Poor Sleep,Rural
14,Female,3.27,Laptop,True,Poor Sleep,Urban
16,Female,3.45,Laptop,True,Eye Strain,Urban
18,Male,4.86,Smartphone,True,None,Urban
9,Male,4.72,Smartphone,True,"Poor Sleep, Obesity Risk",Urban
18,Female,2.87,Smartphone,False,None,Rural
10,Female,8.42,Smartphone,True,None,Urban
12,Female,5.17,Laptop,True,None,Urban
10,Male,4.66,TV,True,"Poor Sleep, Eye Strain",Urban
18,Female,3.82,Smartphone,True,"Poor Sleep, Eye Strain",Rural
15,Male,4.53,Smartphone,True,Poor Sleep,Rural
17,Female,6.05,TV,True,"Poor Sleep, Eye Strain",Urban
15,Female,4.69,Smartphone,True,Poor Sleep,Rural
15,Male,4.98,Smartphone,True,Poor Sleep,Urban
16,Female,3.31,Tablet,True,"Poor Sleep, Obesity Risk",Urban
11,Female,3.34,Smartphone,True,None,Rural
12,Male,3.57,TV,True,Poor Sleep,Rural
12,Female,3.83,Laptop,True,Poor Sleep,Urban
15,Female,2.28,Laptop,False,None,Urban
14,Male,4.45,Laptop,True,Poor Sleep,Urban
16,Male,4.76,Tablet,True,"Poor Sleep, Eye Strain",Rural
15,Female,4.71,Smartphone,True,"Poor Sleep, Eye Strain",Rural
9,Male,1.98,Smartphone,False,None,Urban
17,Female,4.81,Tablet,True,"Poor Sleep, Eye Strain",Urban
11,Female,5.38,Laptop,True,Poor Sleep,Urban
13,Male,5.44,TV,True,Poor Sleep,Urban
9,Female,4.11,TV,True,"Poor Sleep, Anxiety",Urban
14,Female,5.33,Smartphone,True,"Poor Sleep, Eye Strain, Obesity Risk",Rural
10,Female,1.2,Smartphone,False,None,Rural
10,Female,4.02,Smartphone,True,Eye Strain,Urban
18,Female,5.82,Smartphone,True,"Poor Sleep, Eye Strain, Obesity Risk",Rural
9,Male,4.42,Tablet,True,Poor Sleep,Urban
18,Female,5.18,TV,True,Poor Sleep,Urban
15,Male,3.69,TV,True,"Poor Sleep, Eye Strain",Urban
13,Female,3.64,Smartphone,True,Poor Sleep,Rural
8,Male,7.05,Smartphone,True,Obesity Risk,Rural
8,Male,4.96,Tablet,True,None,Urban
14,Male,6.1,Smartphone,True,"Poor Sleep, Eye Strain",Urban
15,Female,5.25,Laptop,True,Poor Sleep,Urban
12,Female,5.38,Laptop,True,"Poor Sleep, Eye Strain, Anxiety",Rural
18,Female,4.54,Smartphone,True,Poor Sleep,Urban
12,Male,6.25,Tablet,True,"Poor Sleep, Eye Strain",Rural
11,Male,4.34,Tablet,True,Eye Strain,Urban
13,Female,4.06,TV,True,None,Urban
13,Male,6.38,Laptop,True,"Poor Sleep, Eye Strain",Rural
10,Male,7.78,TV,True,"Poor Sleep, Eye Strain, Anxiety",Urban
16,Male,6.32,Smartphone,True,"Poor Sleep, Anxiety",Urban
18,Male,2.87,Smartphone,False,None,Urban
14,Male,3.25,Smartphone,True,"Anxiety, Obesity Risk",Urban
8,Female,0.42,Tablet,False,None,Rural
14,Male,5.2,Smartphone,True,None,Rural
12,Female,4.52,Laptop,True,Poor Sleep,Urban
12,Male,4.76,Smartphone,True,None,Urban
9,Male,8.04,Smartphone,True,Anxiety,Urban
11,Male,5.18,Smartphone,True,Poor Sleep,Urban
13,Female,6.46,TV,True,Anxiety,Rural
17,Female,4.36,Smartphone,True,Eye Strain,Urban
18,Male,3.83,Smartphone,True,None,Rural
14,Male,5.96,TV,True,"Poor Sleep, Eye Strain, Obesity Risk",Urban
18,Male,4.92,Smartphone,True,Eye Strain,Urban
12,Female,2.95,Laptop,False,None,Urban
16,Female,4.84,TV,True,"Anxiety, Obesity Risk",Rural
10,Female,1.31,TV,False,None,Rural
8,Female,1.88,Smartphone,False,None,Urban
11,Male,3.65,Smartphone,True,Poor Sleep,Urban
16,Male,3.64,Tablet,True,Poor Sleep,Urban
11,Male,4.95,Smartphone,True,Poor Sleep,Urban
9,Male,4.24,Smartphone,True,"Poor Sleep, Obesity Risk",Urban
17,Male,4.54,TV,True,Poor Sleep,Rural
12,Female,4.6,Laptop,True,"Poor Sleep, Anxiety, Obesity Risk",Rural
10,Female,0.36,Tablet,False,None,Rural
16,Female,6.72,Smartphone,True,Eye Strain,Rural
11,Female,6.86,Tablet,True,None,Urban
